# timestamp[ns] w.x w.y w.z a.x a.y a.z
1650458716851106882 -0.001747 -0.010519 0.010432 1.470767 -9.779308 -0.319611
1650458716856083870 0.005234 -0.010519 0.010432 1.421665 -9.844885 -0.330930
1650458716861060858 0.006979 -0.012264 0.019159 1.244152 -9.871200 -0.338194
1650458716866036892 0.012215 -0.008773 0.015668 1.096483 -9.844649 -0.274495
1650458716871013880 0.013961 -0.003537 0.015668 0.980500 -9.862280 -0.146156
1650458716875990868 0.012215 -0.000047 0.005196 1.015109 -9.875158 -0.015378
1650458716880967855 0.015706 0.001699 -0.003530 1.096083 -9.855465 0.039301
1650458716885944843 0.010470 -0.000047 -0.007021 1.182911 -9.824742 0.118116
1650458716888762951 0.004539 -0.000047 -0.009986 1.220516 -9.842836 0.106385
1650458716890920877 -0.000002 -0.000047 -0.012257 1.249314 -9.856691 0.097401
1650458716895897865 -0.006983 0.001699 -0.015748 1.360237 -9.867860 0.063777
1650458716900874853 -0.010474 0.001699 -0.010512 1.404971 -9.842395 -0.007429
1650458716905851841 -0.013965 -0.000047 -0.008766 1.414592 -9.872091 -0.094249
1650458716910828829 -0.010474 -0.000047 -0.003530 1.405638 -9.871019 -0.152216
1650458716915806055 -0.010474 -0.000047 -0.000040 1.299984 -9.843168 -0.133903
1650458716920781851 -0.012219 -0.003537 -0.000040 1.267154 -9.818762 -0.074054
1650458716925758839 -0.006983 -0.007028 -0.007021 1.223791 -9.848104 -0.078326
1650458716928813934 -0.010197 -0.008099 -0.007021 1.222877 -9.862503 -0.124358
1650458716930735826 -0.012219 -0.008773 -0.007021 1.222302 -9.871562 -0.153319
1650458716935713053 -0.008729 -0.005283 -0.007021 1.266126 -9.816523 -0.231295
1650458716940690041 -0.000002 -0.008773 -0.008766 1.322146 -9.816325 -0.220792
1650458716945667028 0.005234 -0.014009 -0.012257 1.371566 -9.867708 -0.191371
1650458716950643063 0.005234 -0.015755 -0.010512 1.432835 -9.847288 -0.087514
1650458716955620050 0.001743 -0.015755 -0.007021 1.393571 -9.865066 -0.034211
1650458716960597038 -0.000002 -0.008773 -0.003530 1.400002 -9.881284 -0.069650
1650458716965574026 -0.003493 -0.008773 -0.000040 1.411899 -9.851812 -0.084433
1650458716968864918 -0.002338 -0.011082 -0.000040 1.388290 -9.850178 -0.075381
1650458716970550060 -0.001747 -0.012264 -0.000040 1.376202 -9.849341 -0.070747
1650458716975527048 -0.003493 -0.008773 -0.000040 1.388600 -9.857702 -0.020874
1650458716980504036 -0.006983 -0.014009 -0.000040 1.408365 -9.885106 0.003770
1650458716985481024 -0.003493 -0.024481 0.005196 1.415671 -9.858851 0.036187
1650458716990458012 -0.005238 -0.034953 -0.003530 1.409959 -9.810914 0.015030
1650458716995434999 -0.000002 -0.064624 0.001706 1.466768 -9.830221 -0.074743
1650458717000411987 0.013961 -0.090804 -0.000040 1.536122 -9.838733 -0.116605
1650458717005388021 0.017451 -0.118729 -0.005276 1.635786 -9.810167 -0.118918
1650458717008915901 0.026112 -0.127389 -0.004038 1.644012 -9.807656 -0.031026
1650458717010365009 0.029668 -0.130946 -0.003530 1.647391 -9.806624 0.005073
1650458717015341997 0.022687 -0.141418 0.005196 1.525169 -9.828978 0.147131
1650458717020318985 0.013961 -0.139673 0.013923 1.293369 -9.839659 0.188660
1650458717025295973 0.005234 -0.132692 0.015668 1.059206 -9.882526 0.073762
1650458717030272007 -0.001747 -0.141418 0.006942 0.944874 -9.882005 -0.072759
1650458717035248995 0.005234 -0.160617 -0.007021 1.014762 -9.874240 -0.204025
1650458717040225983 0.020942 -0.188542 -0.022729 1.215260 -9.815892 -0.287290
1650458717045202971 0.041886 -0.225194 -0.033201 1.463798 -9.829052 -0.318098
1650458717048966885 0.051126 -0.227834 -0.033201 1.580512 -9.854632 -0.222893
1650458717050179958 0.054103 -0.228685 -0.033201 1.618123 -9.862875 -0.192213
1650458717055156946 0.043631 -0.205996 -0.015748 1.573068 -9.818228 -0.039854
